year,return
2017/1/1,0.015077225
2016/1/1,0.015118843
2015/1/1,0.021189754
2014/1/1,0.029716812
2013/1/1,0.03000515
2012/1/1,0.032422107
2011/1/1,0.032795874
2010/1/1,0.023073452
