Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,600383,金地集团,Gemdale Corporation,SHH,0.25
2017-11-30,000300,沪深300,CSI 300,600406,国电南瑞,"NARI Technology Co., Ltd.",SHH,0.24
2017-11-30,000300,沪深300,CSI 300,600415,小商品城,Zhejiang China Commodities City Group Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,SHH,0.16
2017-11-30,000300,沪深300,CSI 300,600446,金证股份,Shenzhen Kingdom Technology Co Ltd,SHH,0.07
2017-11-30,000300,沪深300,CSI 300,600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",SHH,0.08
2017-11-30,000300,沪深300,CSI 300,600485,信威集团,"Beijing Xinwei Telecom Technology Group Co., Ltd.",SHH,0.23
2017-11-30,000300,沪深300,CSI 300,600489,中金黄金,Zhongjin Gold Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600518,康美药业,Kangmei Pharmaceutical Co Ltd,SHH,0.55
2017-11-30,000300,沪深300,CSI 300,600519,贵州茅台,Kweichow Moutai Co Ltd,SHH,2.79
2017-11-30,000300,沪深300,CSI 300,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH,0.28
2017-11-30,000300,沪深300,CSI 300,600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",SHH,0.21
2017-11-30,000300,沪深300,CSI 300,600547,山东黄金,Shandong Gold-Mining Co Ltd,SHH,0.2
2017-11-30,000300,沪深300,CSI 300,600549,厦门钨业,Xiamen Tungsten Co Ltd,SHH,0.1
2017-11-30,000300,沪深300,CSI 300,600570,恒生电子,Hundsun Technologies Inc.,SHH,0.2
2017-11-30,000300,沪深300,CSI 300,600583,海油工程,Offshore Oil Engineering Co Ltd,SHH,0.12
2017-11-30,000300,沪深300,CSI 300,600585,海螺水泥,Anhui Conch Cement Co Ltd,SHH,0.55
2017-11-30,000300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",SHH,0.13
2017-11-30,000300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,SHH,0.23
2017-11-30,000300,沪深300,CSI 300,600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH,0.21
2017-11-30,000300,沪深300,CSI 300,600649,城投控股,"Shanghai Chengtou Holding Co., Ltd.",SHH,0.1
2017-11-30,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH,0.32
